Timestamp,Pessoas Detectadas,Energia Simulada (W),Observação
2025-06-02 23:08:28,9,900,Alta ocupação
2025-06-02 23:08:28,7,700,Alta ocupação
2025-06-02 23:08:28,7,700,Alta ocupação
2025-06-02 23:08:28,9,900,Alta ocupação
2025-06-02 23:08:28,8,800,Alta ocupação
2025-06-02 23:08:28,9,900,Alta ocupação
2025-06-02 23:08:28,8,800,Alta ocupação
2025-06-02 23:08:28,7,700,Alta ocupação
2025-06-02 23:08:28,8,800,Alta ocupação
2025-06-02 23:08:28,9,900,Alta ocupação
2025-06-02 23:08:29,10,1000,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,7,700,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,8,800,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,7,700,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,10,1000,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:29,9,900,Alta ocupação
2025-06-02 23:08:30,9,900,Alta ocupação
2025-06-02 23:08:30,9,900,Alta ocupação
2025-06-02 23:08:30,8,800,Alta ocupação
2025-06-02 23:08:30,8,800,Alta ocupação
2025-06-02 23:08:30,8,800,Alta ocupação
2025-06-02 23:08:30,7,700,Alta ocupação
2025-06-02 23:08:30,8,800,Alta ocupação
2025-06-02 23:08:30,8,800,Alta ocupação
2025-06-02 23:08:30,8,800,Alta ocupação
2025-06-02 23:08:30,7,700,Alta ocupação
2025-06-02 23:08:30,8,800,Alta ocupação
